               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.025228,            0.012505,                   0,             0.99914,                   1,               0.995,             0.82834,            0.015653,           0.0045059,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.021946,            0.011033,                   0,             0.99922,                   1,               0.995,             0.81127,             0.01652,           0.0043454,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.021823,            0.010899,                   0,             0.99908,                   1,               0.995,             0.83611,            0.014951,           0.0043856,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.021129,            0.011485,                   0,             0.99927,                   1,               0.995,             0.83399,            0.015589,           0.0044023,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.022216,            0.011912,                   0,             0.99906,                   1,               0.995,              0.8322,            0.015664,           0.0043414,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.020351,            0.010992,                   0,             0.99911,                   1,               0.995,             0.83791,             0.01503,           0.0042427,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.022609,            0.013506,                   0,             0.99922,                   1,               0.995,             0.83071,            0.015017,           0.0043185,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.022063,            0.011278,                   0,             0.99928,                   1,               0.995,             0.81565,            0.015219,           0.0044184,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.020993,            0.011304,                   0,             0.99923,                   1,               0.995,             0.84703,            0.015865,           0.0043373,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.022161,            0.011802,                   0,             0.99928,                   1,               0.995,             0.84696,            0.015359,           0.0041771,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.021404,            0.011472,                   0,              0.9992,                   1,               0.995,             0.84071,            0.014933,           0.0042846,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.020522,            0.010855,                   0,             0.99933,                   1,               0.995,             0.84201,            0.015279,           0.0043689,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.020894,             0.01163,                   0,             0.99933,                   1,               0.995,             0.84367,            0.015235,           0.0040345,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.020343,            0.010831,                   0,             0.99928,                   1,               0.995,             0.84269,            0.015207,           0.0042053,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.021864,             0.01198,                   0,             0.99923,                   1,               0.995,             0.82903,            0.015593,           0.0043774,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.020066,            0.010596,                   0,             0.99926,                   1,               0.995,             0.83922,            0.014864,            0.004446,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.020794,            0.010797,                   0,             0.99897,                   1,               0.995,             0.84692,            0.015032,           0.0042274,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.019807,            0.011506,                   0,             0.99906,                   1,               0.995,             0.84408,             0.01499,            0.004244,                   0,            0.004555,            0.004555,            0.004555
